Index,Dataset,BREN*1000,CONT,Rod Count*0.01,Area Ratio,GRA6,STA6*1000
IMG_6495,1,0.3340249479115,0.4750747637787692,0.03,0.7559728652263374,0.7559728652263374,0.094503769201224
IMG_6490,1,0.338437456747,0.543910984808804,0.03,0.4814981281435757,0.4814981281435757,0.10366816377291
IMG_1748,1,0.7341198833743,0.4873320442897498,0.08,0.1189232010319559,0.1189232010319559,0.193621448337136
IMG_6362,1,0.8380778667336001,0.5092900047005432,0.07,0.4611449005543372,0.4611449005543372,0.263809892994465
IMG_6410,1,0.33963991127619997,0.5084136766534412,0.11,0.3685274655823586,0.3685274655823586,0.095236600457637
IMG_6497,1,0.5005820402708,0.5456284575241297,0.02,0.7899661351165981,0.7899661351165981,0.149125725191423
IMG_1755,1,1.9096409434685,0.4861592509791227,0.07,0.2206431714275216,0.2206431714275216,0.726186331158551
IMG_1760,1,1.9820581698764,0.4330666009393548,0.37,0.1944478070935164,0.1944478070935164,0.667833690970826
IMG_1752,1,0.6523331179449999,0.4827817954665342,0.08,0.1674705858423616,0.1674705858423616,0.193423264899207
IMG_6365,1,0.6769620903654,0.5255324912422167,0.07,0.1723074096917641,0.1723074096917641,0.149698963765348
IMG_6496,1,0.5029077181742,0.4935755972866028,0.01,0.6069840249199817,0.6069840249199817,0.140880738264533
IMG_1749,1,0.7284719553318,0.4847614620533774,0.08,0.1207430503065423,0.1207430503065423,0.193815132974755
IMG_6501,1,0.5503297629116,0.4314196826726886,0.11,0.6827206218564243,0.6827206218564243,0.169430245708697
IMG_6493,1,0.3601406477174,0.5225733677086145,0.03,0.4723108853452217,0.4723108853452217,0.106442966810586
IMG_1758,1,1.8034609256643,0.4513752812175512,0.32,0.2434129805471571,0.2434129805471571,0.572801385887781
IMG_1757,1,2.0504027852329,0.4526894397699763,0.34,0.2491987873467288,0.2491987873467288,0.690759277478366
IMG_6504,1,0.7934681586034,0.4559877591900042,0.07,0.6720775462962963,0.6720775462962963,0.278466691839858
IMG_1756,1,1.8564945122334,0.4804909754874026,0.07,0.201879343558411,0.201879343558411,0.688582441568581
IMG_6498,1,0.27335708950739995,0.5075114798228098,0.01,0.6088081561499772,0.6088081561499772,0.08407273711255
IMG_6402,1,1.6550164638434,0.2914035785041586,0.05,0.6900597168920566,0.6900597168920566,0.476557916688766
IMG_6506,1,0.8230258197594,0.4336038079196626,0.07,0.4742314671925011,0.4742314671925011,0.284637081645513
IMG_6394,1,0.39932152094830003,0.5319193487545655,0.09,0.5804198266934698,0.5804198266934698,0.109723991370859
IMG_1759,1,2.0389411216516002,0.4610965757751183,0.04,0.3036376973628957,0.3036376973628957,0.713204508327241
IMG_1754,1,1.4675115281488,0.4645882935123129,0.08,0.15887606489355,0.15887606489355,0.51875478278415
IMG_1751,1,0.5953776630174,0.4716081240529278,0.04,0.3218538235124296,0.3218538235124296,0.17672048368376
IMG_6491,1,0.3096469465516,0.532332507160026,0.03,0.4467193215592135,0.4467193215592135,0.088777422826223
IMG_1753,1,1.3839795552363001,0.4636401953877349,0.08,0.1583865123981691,0.1583865123981691,0.488776498473562
IMG_6406,1,0.595521691736,0.4865082176146669,0.06,0.5649006685550683,0.5649006685550683,0.17657652944061
IMG_1750,1,0.6125704417379,0.4567061449144279,0.06,0.4319120153848576,0.4319120153848576,0.211145774050943
IMG_6396,1,0.4661787824216,0.5591727004370948,0.23,0.531384491502193,0.531384491502193,0.129415640907822
IMG_6426,0,0.45428134299899997,0.5472268519406147,0.24,0.379774495918616,0.379774495918616,0.106113016246411
IMG_6420,0,0.598770461723,0.4724991049834006,0.3,0.2024546364826998,0.2024546364826998,0.179139103432703
IMG_6361,0,0.9073931821672,0.5033395621032023,0.26,0.2672733537402534,0.2672733537402534,0.235970693321083
IMG_6371,0,0.6178279800255,0.4833524763546127,0.3,0.1332134997867933,0.1332134997867933,0.165080040726954
IMG_6399,0,0.6145169110314,0.4142097387448513,0.08,0.3174166019432261,0.3174166019432261,0.155130328385597
IMG_6418,0,0.5332190586691999,0.4976159198328247,0.4,0.2633359793798733,0.2633359793798733,0.150049920198263
IMG_6363,0,0.8733112085148,0.5427812926263454,0.28,0.2115726463511208,0.2115726463511208,0.248866699157896
IMG_6383,0,0.8008732924592,0.3786870634399799,0.29,0.07802734375,0.07802734375,0.184939922578344
IMG_6411,0,0.6062322092042001,0.471148520356951,0.69,0.3609372144554094,0.3609372144554094,0.168103135181392
IMG_6370,0,0.6749815615675,0.4875075035074679,0.23,0.213789519371345,0.213789519371345,0.207919838734391
IMG_6401,0,0.5788586513897,0.540161845985237,0.08,0.2240040204678362,0.2240040204678362,0.153593584032818
IMG_6395,0,0.5840420939698,0.5517030120583468,0.37,0.3792003609283625,0.3792003609283625,0.142223010239266
IMG_6398,0,0.4986947578195,0.5483072949748593,0.17,0.2201853374756335,0.2201853374756335,0.132746890150571
IMG_6369,0,0.5360597036006,0.4464707186709524,0.1,0.4301009685672514,0.4301009685672514,0.179656449478739
IMG_6415,0,0.8730665405541,0.4573042182256582,0.21,0.278510294834308,0.278510294834308,0.272911678690186
IMG_6414,0,0.3811083964847,0.5050109089433159,0.21,0.4000595836379142,0.4000595836379142,0.104069508067678
IMG_6377,0,0.5883876214211999,0.449532141121515,0.09,0.1352841739766082,0.1352841739766082,0.150334986612907
IMG_6408,0,0.4626019457255,0.5028740790971552,0.78,0.3612667329130117,0.3612667329130117,0.121680447671407
IMG_6368,0,0.7398858185098,0.4515963026087835,0.05,0.0923777678788986,0.0923777678788986,0.133313949119084
IMG_6425,0,0.6369245316777999,0.5382387224451406,0.03,0.6259735166910332,0.6259735166910332,0.196064350183146
IMG_6367,0,0.7832274402807,0.4498899952747914,0.06,0.083168954830653,0.083168954830653,0.231409467387274
IMG_6366,0,1.1600194034673,0.4293101134689315,0.06,0.0412157917580409,0.0412157917580409,0.320751004420667
IMG_6413,0,0.5653930990523,0.4240747359696361,0.34,0.1801591244822124,0.1801591244822124,0.111398952171365
IMG_6422,0,0.7010907999799,0.503621048607763,0.28,0.1714716206749512,0.1714716206749512,0.180667000449476
IMG_6412,0,0.8967450296062,0.4109835241076303,0.07,0.1366257576449805,0.1366257576449805,0.171992765745112
IMG_6385,0,0.4882554323621,0.4014534677142032,0.2,0.3327473006518031,0.3327473006518031,0.125880032486309
IMG_6409,0,0.5293244708234,0.4739053329385141,0.02,0.0097363090886939,0.0097363090886939,0.117611906870831
IMG_6400,0,0.7980952511396,0.441335476140795,0.07,0.4773114834612573,0.4773114834612573,0.233042319313851
IMG_6424,0,0.5833332346296001,0.5122005130942637,0.03,0.3799965544286062,0.3799965544286062,0.147050839578835
IMG_6376,0,0.6294611425524,0.5175791915433439,0.12,0.2381598935489766,0.2381598935489766,0.205747150696439
IMG_6419,0,0.5290029179712,0.469627916400235,0.15,0.2229233293737816,0.2229233293737816,0.169001059365817
IMG_6416,0,0.5473812641874001,0.5022121588682406,0.24,0.3108092904788012,0.3108092904788012,0.155965766818586
IMG_6404,0,0.7780705246797001,0.4763111027991086,0.11,0.2758763363486842,0.2758763363486842,0.200911232701931
IMG_6417,0,0.3655553595189,0.5030655806945067,0.1,0.4431482623659844,0.4431482623659844,0.110448883596633
IMG_6423,0,0.5181695261420001,0.5290633232232614,0.03,0.6018152069627193,0.6018152069627193,0.155317438623371
IMG_6421,0,0.5259442580004999,0.4603802046210319,0.06,0.5958561769005848,0.5958561769005848,0.177133379947017
IMG_6388,0,0.48216669841110005,0.4753651344438452,0.06,0.4829117743360136,0.4829117743360136,0.152969661343246
IMG_6364,0,0.8217929507973,0.3813220539751727,0.2,0.2309362816764132,0.2309362816764132,0.194648529664053
IMG_6374,0,0.8417462942902001,0.4748208604515233,0.16,0.4074253967166179,0.4074253967166179,0.271734109192178
IMG_6380,0,1.056386587494,0.4282452072276904,0.4,0.0872693751522904,0.0872693751522904,0.266451853209665
IMG_6375,0,0.7556696302348,0.4972257430506479,0.05,0.5404322574013158,0.5404322574013158,0.229043030843737
